,id,label,text,img
0,42953,0,its their character not their color that matters, barbershop book_jacket prison dumbbell panpipe
1,23058,0,don't be afraid to love again everyone is not like your ex, suit Windsor_tie groom bassoon academic_gown
2,13894,0,putting bows on your pet, Egyptian_cat tiger_cat tabby Siamese_cat window_screen
3,37408,0,i love everything and everybody! except for squirrels i hate squirrels, Rottweiler kelpie Doberman Labrador_retriever black-and-tan_coonhound
4,82403,0,"everybody loves chocolate chip cookies, even hitler", military_uniform suit bow_tie academic_gown bulletproof_vest
5,16952,0,go sports! do the thing! win the points!, basketball volleyball rugby_ball torch soccer_ball
6,76932,0,fine you're right. now can we fucking drop it?, lion dhole hyena cheetah baboon
7,70914,0,tattoos are bad for your health i know 5 million people that had tattoos and they all died, cowboy_hat sombrero hair_spray binoculars conch
8,2973,0,how long can i run? till the chain tightens, kelpie Eskimo_dog malinois dingo German_shepherd
9,58306,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored", packet web_site menu bathing_cap book_jacket
10,79351,1,jew mad? get fuhrerious!, book_jacket comic_book barbershop military_uniform hair_spray
11,34096,0,"removes polish with chemicals, nobody bats an eye", pill_bottle pick face_powder safety_pin hair_slide
12,25489,1,brother... a day without a blast is a day wasted, microphone stage power_drill ballplayer barbershop
13,19324,0,when you're the only dog left at the dog shelter and the black family wants to adopt you, jigsaw_puzzle library book_jacket studio_couch television
14,79346,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty, chain_mail gown web_site stole maillot
15,13426,0,they will soon be free, sarong umbrella parachute stole poncho
16,97628,0,"is it ok for your son or daughter to call another man ""daddy?", balance_beam jean library brassiere rocking_chair
17,14238,0,most religions are religions of peace, lab_coat stethoscope Indian_cobra cellular_telephone book_jacket
18,28936,0,when you find out there's an opening for the role of first lady, miniskirt maillot jean cinema maillot
19,59784,0,if people reject me because i stand on the truth then i have no problem walking alone, parking_meter book_jacket traffic_light bearskin spotlight
20,2146,0,from the bottom of my heart i would like to sincerely apologize..... for being white, African_grey macaw sulphur-crested_cockatoo lorikeet kite
21,70146,0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border", bull_mastiff French_bulldog boxer pug American_Staffordshire_terrier
22,28061,0,just because they do this dosen't mean they'll do this, chain_saw abaya ski_mask tile_roof unicycle
23,97180,0,if there is no race it can't be homicide, lab_coat gown street_sign barbershop scoreboard
24,49752,0,here's to all my friends who never post about politics or religion, suit perfume groom Windsor_tie iPod
25,25610,0,enjoying a day at the beach, bikini seashore sarong maillot sunscreen
26,15872,0,when you come home from a long day of suicide bombinb and your wife gives you this look, web_site mortarboard jean hair_spray prison
27,72640,1,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.", jersey web_site groom bulletproof_vest Leonberg
28,64318,0,when they take too long to blow out the candle, candle lipstick cup toilet_tissue nail
29,17956,0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell, suit Windsor_tie groom comic_book book_jacket
30,93547,1,d.j. osama spin laden droppin' beats like the twin towers, tobacco_shop electric_guitar confectionery comic_book slot
31,10743,0,move to new york they said it'll be fun they said, shovel snowplow plow broom plunger
32,37091,0,my sandwich-maker is very slow today, grocery_store wooden_spoon confectionery Crock_Pot paintbrush
33,25719,0,when you accidentally fall in the toilet, abaya academic_gown kimono cloak vestment
34,76825,0,two woman walking home together after a nice day out together, abaya cloak bearskin poncho kimono
35,72598,0,texas churches be like... pew pew pew, lab_coat neck_brace jean sunglass stage
36,43078,0,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky, comic_book bookshop academic_gown library web_site
37,51846,0,doesn't wear tampons because she trips over the string, hair_slide leaf_beetle safety_pin hand_blower microphone
38,1569,0,when you can't decide to pre heat the oven or just throw the meal in right away, quill cellular_telephone screwdriver paintbrush lipstick
39,95812,0,happy shot in the face day 5-2-2011, lab_coat drumstick shower_cap sweatshirt wig
40,6418,0,1 bomb every minute, backpack accordion cellular_telephone drumstick slot
41,53976,0,black power comes with a lot of responsibility, suit Windsor_tie crutch tricycle notebook
42,70193,0,that chiken is so black no one is going to eat it, ping-pong_ball tennis_ball head_cabbage dumbbell stage
43,60427,0,i hope both teams lose, Persian_cat Siamese_cat tabby velvet sleeping_bag
44,78395,0,say the damn pronouns, suit turnstile academic_gown bassoon crutch
45,4876,0,goin, hook swing crane spatula chime
46,92075,0,we need problem solvers not racist and religious bigots in office, notebook abaya web_site car_mirror harp
47,86354,0,officer down, laptop notebook ambulance wall_clock cash_machine
48,74386,1,we said we would never forget why are you voting them into our government?, violin cello book_jacket envelope web_site
49,59613,0,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention, suit Windsor_tie Loafer web_site bow_tie
50,10263,0,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""", web_site comic_book Windsor_tie book_jacket suit
51,48279,0,nice watch must have cost an arm and a leg, analog_clock wall_clock stopwatch digital_watch digital_clock
52,52610,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn, parachute pinwheel comic_book book_jacket flagpole
53,58371,0,when you suck at photoshop, Pomeranian Norfolk_terrier Pekinese Shetland_sheepdog Norwich_terrier
54,27401,0,for the last time.. i'm not michelle obama, bow_tie groom gown suit Loafer
55,89574,0,i'm cute, sweatshirt jersey lab_coat mortarboard notebook
56,25473,0,and then i told them you're going on a fun camping trip, marimba Sussex_spaniel whistle Kerry_blue_terrier pinwheel
